issue,related_issue,no_related_issue
ipython/ipython#1184,matplotlib/matplotlib#1530,matplotlib/matplotlib#1954
ipython/ipython#1184,matplotlib/matplotlib#1530,matplotlib/matplotlib#896
ipython/ipython#1184,matplotlib/matplotlib#1530,matplotlib/matplotlib#1786
ipython/ipython#8051,matplotlib/matplotlib#4102,matplotlib/matplotlib#6685
ipython/ipython#8051,matplotlib/matplotlib#4102,matplotlib/matplotlib#3010
ipython/ipython#8051,matplotlib/matplotlib#4102,matplotlib/matplotlib#2594
ipython/ipython#8495,matplotlib/matplotlib#4281,scikit-learn/scikit-learn#5094
ipython/ipython#8495,matplotlib/matplotlib#4281,scikit-learn/scikit-learn#1801
ipython/ipython#8495,matplotlib/matplotlib#4281,scikit-learn/scikit-learn#1805
ipython/ipython#8133,matplotlib/matplotlib#4341,matplotlib/matplotlib#5972
ipython/ipython#8133,matplotlib/matplotlib#4341,matplotlib/matplotlib#6325
ipython/ipython#8133,matplotlib/matplotlib#4341,matplotlib/matplotlib#2605
ipython/ipython#8400,matplotlib/matplotlib#4397,matplotlib/matplotlib#4069
ipython/ipython#8400,matplotlib/matplotlib#4397,matplotlib/matplotlib#4576
ipython/ipython#8400,matplotlib/matplotlib#4397,matplotlib/matplotlib#3511
ipython/ipython#815,matplotlib/matplotlib#80,scikit-learn/scikit-learn#6533
ipython/ipython#815,matplotlib/matplotlib#80,matplotlib/matplotlib#1089
ipython/ipython#815,matplotlib/matplotlib#80,scikit-learn/scikit-learn#8913
ipython/ipython#370,matplotlib/matplotlib#84,matplotlib/matplotlib#1704
ipython/ipython#370,matplotlib/matplotlib#84,matplotlib/matplotlib#1411
ipython/ipython#370,matplotlib/matplotlib#84,matplotlib/matplotlib#2191
ipython/ipython#6362,astropy/astropy#2849,astropy/astropy#3827
ipython/ipython#6362,astropy/astropy#2849,astropy/astropy#4179
ipython/ipython#6362,astropy/astropy#2849,astropy/astropy#2828
ipython/ipython#2738,astropy/astropy#600,astropy/astropy#80
ipython/ipython#2738,astropy/astropy#600,astropy/astropy#2478
ipython/ipython#2738,astropy/astropy#600,astropy/astropy#2490
ipython/ipython#2179,matplotlib/matplotlib#1033,scikit-learn/scikit-learn#1627
ipython/ipython#2179,matplotlib/matplotlib#1033,scikit-learn/scikit-learn#3752
ipython/ipython#2179,matplotlib/matplotlib#1033,matplotlib/matplotlib#9282
ipython/ipython#2384,matplotlib/matplotlib#1125,astropy/astropy#5204
ipython/ipython#2384,matplotlib/matplotlib#1125,pandas-dev/pandas#10989
ipython/ipython#2384,matplotlib/matplotlib#1125,numpy/numpy#6748
ipython/ipython#2380,matplotlib/matplotlib#1126,matplotlib/matplotlib#8312
ipython/ipython#2380,matplotlib/matplotlib#1126,matplotlib/matplotlib#1422
ipython/ipython#2380,matplotlib/matplotlib#1126,astropy/astropy#4436
ipython/ipython#2508,matplotlib/matplotlib#1418,matplotlib/matplotlib#1515
ipython/ipython#2508,matplotlib/matplotlib#1418,numpy/numpy#7050
ipython/ipython#2508,matplotlib/matplotlib#1418,scipy/scipy#6229
ipython/ipython#2535,matplotlib/matplotlib#1419,scikit-learn/scikit-learn#5356
ipython/ipython#2535,matplotlib/matplotlib#1419,pandas-dev/pandas#9290
ipython/ipython#2535,matplotlib/matplotlib#1419,scikit-learn/scikit-learn#3479
ipython/ipython#2535,matplotlib/matplotlib#1420,pandas-dev/pandas#13857
ipython/ipython#2535,matplotlib/matplotlib#1420,pandas-dev/pandas#13859
ipython/ipython#2535,matplotlib/matplotlib#1420,astropy/astropy#2431
ipython/ipython#2508,matplotlib/matplotlib#1420,pandas-dev/pandas#13859
ipython/ipython#2508,matplotlib/matplotlib#1420,pandas-dev/pandas#13857
ipython/ipython#2508,matplotlib/matplotlib#1420,astropy/astropy#2431
ipython/ipython#2508,matplotlib/matplotlib#1421,matplotlib/matplotlib#4620
ipython/ipython#2508,matplotlib/matplotlib#1421,matplotlib/matplotlib#1616
ipython/ipython#2508,matplotlib/matplotlib#1421,matplotlib/matplotlib#3452
ipython/ipython#2579,matplotlib/matplotlib#1426,matplotlib/matplotlib#2524
ipython/ipython#2579,matplotlib/matplotlib#1426,matplotlib/matplotlib#3685
ipython/ipython#2579,matplotlib/matplotlib#1426,matplotlib/matplotlib#5432
ipython/ipython#481,matplotlib/matplotlib#1530,matplotlib/matplotlib#1954
ipython/ipython#481,matplotlib/matplotlib#1530,matplotlib/matplotlib#896
ipython/ipython#481,matplotlib/matplotlib#1530,matplotlib/matplotlib#1786
ipython/ipython#2939,matplotlib/matplotlib#1586,matplotlib/matplotlib#5290
ipython/ipython#2939,matplotlib/matplotlib#1586,matplotlib/matplotlib#6089
ipython/ipython#2939,matplotlib/matplotlib#1586,matplotlib/matplotlib#5985
ipython/ipython#3027,matplotlib/matplotlib#1721,numpy/numpy#3912
ipython/ipython#3027,matplotlib/matplotlib#1721,numpy/numpy#4012
ipython/ipython#3027,matplotlib/matplotlib#1721,numpy/numpy#3885
ipython/ipython#4077,matplotlib/matplotlib#2054,matplotlib/matplotlib#5531
ipython/ipython#4077,matplotlib/matplotlib#2054,matplotlib/matplotlib#540
ipython/ipython#4077,matplotlib/matplotlib#2054,matplotlib/matplotlib#495
ipython/ipython#6707,matplotlib/matplotlib#2236,matplotlib/matplotlib#3874
ipython/ipython#6707,matplotlib/matplotlib#2236,matplotlib/matplotlib#7192
ipython/ipython#6707,matplotlib/matplotlib#2236,pandas-dev/pandas#11595
ipython/ipython#1533,matplotlib/matplotlib#2249,matplotlib/matplotlib#1196
ipython/ipython#1533,matplotlib/matplotlib#2249,matplotlib/matplotlib#3570
ipython/ipython#1533,matplotlib/matplotlib#2249,matplotlib/matplotlib#3105
ipython/ipython#5458,matplotlib/matplotlib#2471,matplotlib/matplotlib#4859
ipython/ipython#5458,matplotlib/matplotlib#2471,matplotlib/matplotlib#1021
ipython/ipython#5458,matplotlib/matplotlib#2471,scikit-learn/scikit-learn#1585
ipython/ipython#4501,matplotlib/matplotlib#2583,matplotlib/matplotlib#4492
ipython/ipython#4501,matplotlib/matplotlib#2583,matplotlib/matplotlib#991
ipython/ipython#4501,matplotlib/matplotlib#2583,matplotlib/matplotlib#3863
ipython/ipython#4640,matplotlib/matplotlib#2646,matplotlib/matplotlib#5023
ipython/ipython#4640,matplotlib/matplotlib#2646,matplotlib/matplotlib#5227
ipython/ipython#4640,matplotlib/matplotlib#2646,matplotlib/matplotlib#3258
ipython/ipython#4570,matplotlib/matplotlib#2656,matplotlib/matplotlib#2666
ipython/ipython#4570,matplotlib/matplotlib#2656,matplotlib/matplotlib#2436
ipython/ipython#4570,matplotlib/matplotlib#2656,matplotlib/matplotlib#2261
ipython/ipython#6057,matplotlib/matplotlib#3072,matplotlib/matplotlib#5442
ipython/ipython#6057,matplotlib/matplotlib#3072,matplotlib/matplotlib#3682
ipython/ipython#6057,matplotlib/matplotlib#3072,matplotlib/matplotlib#4194
ipython/ipython#1927,matplotlib/matplotlib#323,matplotlib/matplotlib#366
ipython/ipython#1927,matplotlib/matplotlib#323,matplotlib/matplotlib#301
ipython/ipython#1927,matplotlib/matplotlib#323,matplotlib/matplotlib#172
ipython/ipython#6189,matplotlib/matplotlib#3360,matplotlib/matplotlib#3168
ipython/ipython#6189,matplotlib/matplotlib#3360,matplotlib/matplotlib#5114
ipython/ipython#6189,matplotlib/matplotlib#3360,matplotlib/matplotlib#5620
ipython/ipython#6755,matplotlib/matplotlib#3688,scikit-learn/scikit-learn#3516
ipython/ipython#6755,matplotlib/matplotlib#3688,pandas-dev/pandas#12385
ipython/ipython#6755,matplotlib/matplotlib#3688,pandas-dev/pandas#14292
ipython/ipython#959,matplotlib/matplotlib#391,pandas-dev/pandas#5900
ipython/ipython#959,matplotlib/matplotlib#391,pandas-dev/pandas#4327
ipython/ipython#959,matplotlib/matplotlib#391,pandas-dev/pandas#8828
ipython/ipython#7276,matplotlib/matplotlib#3932,pandas-dev/pandas#6575
ipython/ipython#7276,matplotlib/matplotlib#3932,pandas-dev/pandas#11548
ipython/ipython#7276,matplotlib/matplotlib#3932,pandas-dev/pandas#1812
ipython/ipython#7351,matplotlib/matplotlib#4002,matplotlib/matplotlib#2530
ipython/ipython#7351,matplotlib/matplotlib#4002,matplotlib/matplotlib#1936
ipython/ipython#7351,matplotlib/matplotlib#4002,pandas-dev/pandas#1806
ipython/ipython#8489,matplotlib/matplotlib#4091,pandas-dev/pandas#14904
ipython/ipython#8489,matplotlib/matplotlib#4091,pandas-dev/pandas#13564
ipython/ipython#8489,matplotlib/matplotlib#4091,pandas-dev/pandas#13563
ipython/ipython#7864,matplotlib/matplotlib#4156,matplotlib/matplotlib#786
ipython/ipython#7864,matplotlib/matplotlib#4156,matplotlib/matplotlib#1581
ipython/ipython#7864,matplotlib/matplotlib#4156,scikit-learn/scikit-learn#1205
ipython/ipython#8133,matplotlib/matplotlib#4388,matplotlib/matplotlib#2904
ipython/ipython#8133,matplotlib/matplotlib#4388,matplotlib/matplotlib#6120
ipython/ipython#8133,matplotlib/matplotlib#4388,matplotlib/matplotlib#5772
ipython/ipython#8795,matplotlib/matplotlib#4829,matplotlib/matplotlib#4787
ipython/ipython#8795,matplotlib/matplotlib#4829,pandas-dev/pandas#14904
ipython/ipython#8795,matplotlib/matplotlib#4829,matplotlib/matplotlib#4091
ipython/ipython#9098,matplotlib/matplotlib#5597,matplotlib/matplotlib#5338
ipython/ipython#9098,matplotlib/matplotlib#5597,matplotlib/matplotlib#5586
ipython/ipython#9098,matplotlib/matplotlib#5597,matplotlib/matplotlib#5284
ipython/ipython#8733,matplotlib/matplotlib#5884,matplotlib/matplotlib#6566
ipython/ipython#8733,matplotlib/matplotlib#5884,astropy/astropy#945
ipython/ipython#8733,matplotlib/matplotlib#5884,astropy/astropy#659
ipython/ipython#9286,matplotlib/matplotlib#6013,matplotlib/matplotlib#5445
ipython/ipython#9286,matplotlib/matplotlib#6013,matplotlib/matplotlib#5599
ipython/ipython#9286,matplotlib/matplotlib#6013,matplotlib/matplotlib#5682
ipython/ipython#9286,matplotlib/matplotlib#6092,matplotlib/matplotlib#6402
ipython/ipython#9286,matplotlib/matplotlib#6092,matplotlib/matplotlib#6101
ipython/ipython#9286,matplotlib/matplotlib#6092,matplotlib/matplotlib#6100
ipython/ipython#9299,matplotlib/matplotlib#6113,pandas-dev/pandas#13598
ipython/ipython#9299,matplotlib/matplotlib#6113,pandas-dev/pandas#13594
ipython/ipython#9299,matplotlib/matplotlib#6113,pandas-dev/pandas#11254
ipython/ipython#6755,matplotlib/matplotlib#6204,matplotlib/matplotlib#3533
ipython/ipython#6755,matplotlib/matplotlib#6204,matplotlib/matplotlib#5711
ipython/ipython#6755,matplotlib/matplotlib#6204,matplotlib/matplotlib#5712
ipython/ipython#1188,matplotlib/matplotlib#665,pandas-dev/pandas#4429
ipython/ipython#1188,matplotlib/matplotlib#665,pandas-dev/pandas#15263
ipython/ipython#1188,matplotlib/matplotlib#665,pandas-dev/pandas#16798
ipython/ipython#9659,matplotlib/matplotlib#6734,matplotlib/matplotlib#4171
ipython/ipython#9659,matplotlib/matplotlib#6734,matplotlib/matplotlib#6752
ipython/ipython#9659,matplotlib/matplotlib#6734,numpy/numpy#6910
ipython/ipython#2508,matplotlib/matplotlib#688,scipy/scipy#5303
ipython/ipython#2508,matplotlib/matplotlib#688,scikit-learn/scikit-learn#159
ipython/ipython#2508,matplotlib/matplotlib#688,astropy/astropy#4161
ipython/ipython#10003,matplotlib/matplotlib#7264,pandas-dev/pandas#10126
ipython/ipython#10003,matplotlib/matplotlib#7264,pandas-dev/pandas#17699
ipython/ipython#10003,matplotlib/matplotlib#7264,pandas-dev/pandas#13181
ipython/ipython#10086,matplotlib/matplotlib#7611,scikit-learn/scikit-learn#995
ipython/ipython#10086,matplotlib/matplotlib#7611,matplotlib/matplotlib#4286
ipython/ipython#10086,matplotlib/matplotlib#7611,matplotlib/matplotlib#5613
ipython/ipython#1615,matplotlib/matplotlib#835,matplotlib/matplotlib#7740
ipython/ipython#1615,matplotlib/matplotlib#835,scikit-learn/scikit-learn#9240
ipython/ipython#1615,matplotlib/matplotlib#835,scikit-learn/scikit-learn#8538
ipython/ipython#1612,matplotlib/matplotlib#835,matplotlib/matplotlib#7740
ipython/ipython#1612,matplotlib/matplotlib#835,scikit-learn/scikit-learn#9240
ipython/ipython#1612,matplotlib/matplotlib#835,scikit-learn/scikit-learn#8538
ipython/ipython#1740,matplotlib/matplotlib#883,matplotlib/matplotlib#1545
ipython/ipython#1740,matplotlib/matplotlib#883,matplotlib/matplotlib#3615
ipython/ipython#1740,matplotlib/matplotlib#883,matplotlib/matplotlib#2881
ipython/ipython#2548,numpy/numpy#241,numpy/numpy#256
