issue,related_issue,no_related_issue
matplotlib/matplotlib#6231,ipython/ipython#8921,pandas-dev/pandas#2695
matplotlib/matplotlib#6231,ipython/ipython#8921,pandas-dev/pandas#10050
matplotlib/matplotlib#6231,ipython/ipython#8921,pandas-dev/pandas#2866
matplotlib/matplotlib#4388,ipython/ipython#8133,pandas-dev/pandas#9184
matplotlib/matplotlib#4388,ipython/ipython#8133,ipython/ipython#3017
matplotlib/matplotlib#4388,ipython/ipython#8133,pandas-dev/pandas#9711
matplotlib/matplotlib#4274,astropy/astropy#3617,astropy/astropy#1990
matplotlib/matplotlib#4274,astropy/astropy#3617,astropy/astropy#1176
matplotlib/matplotlib#4274,astropy/astropy#3617,astropy/astropy#1200
matplotlib/matplotlib#4156,ipython/ipython#7864,ipython/ipython#8447
matplotlib/matplotlib#4156,ipython/ipython#7864,ipython/ipython#7928
matplotlib/matplotlib#4156,ipython/ipython#7864,ipython/ipython#1054
matplotlib/matplotlib#3962,ipython/ipython#7351,pandas-dev/pandas#14599
matplotlib/matplotlib#3962,ipython/ipython#7351,pandas-dev/pandas#13104
matplotlib/matplotlib#3962,ipython/ipython#7351,pandas-dev/pandas#7233
matplotlib/matplotlib#2471,ipython/ipython#5458,ipython/ipython#2702
matplotlib/matplotlib#2471,ipython/ipython#5458,ipython/ipython#6437
matplotlib/matplotlib#2471,ipython/ipython#5458,ipython/ipython#4250
matplotlib/matplotlib#2062,ipython/ipython#3352,astropy/astropy#3845
matplotlib/matplotlib#2062,ipython/ipython#3352,astropy/astropy#3164
matplotlib/matplotlib#2062,ipython/ipython#3352,astropy/astropy#1057
matplotlib/matplotlib#1473,numpy/numpy#2700,scipy/scipy#2734
matplotlib/matplotlib#1473,numpy/numpy#2700,astropy/astropy#3774
matplotlib/matplotlib#1473,numpy/numpy#2700,astropy/astropy#4315
matplotlib/matplotlib#7611,ipython/ipython#10086,ipython/ipython#9264
matplotlib/matplotlib#7611,ipython/ipython#10086,ipython/ipython#8506
matplotlib/matplotlib#7611,ipython/ipython#10086,ipython/ipython#9136
matplotlib/matplotlib#7295,ipython/ipython#9998,ipython/ipython#9287
matplotlib/matplotlib#7295,ipython/ipython#9998,ipython/ipython#4609
matplotlib/matplotlib#7295,ipython/ipython#9998,ipython/ipython#4972
matplotlib/matplotlib#7264,ipython/ipython#10003,scikit-learn/scikit-learn#1205
matplotlib/matplotlib#7264,ipython/ipython#10003,scikit-learn/scikit-learn#4935
matplotlib/matplotlib#7264,ipython/ipython#10003,scikit-learn/scikit-learn#3115
matplotlib/matplotlib#7264,ipython/ipython#10022,ipython/ipython#9856
matplotlib/matplotlib#7264,ipython/ipython#10022,ipython/ipython#6531
matplotlib/matplotlib#7264,ipython/ipython#10022,ipython/ipython#9135
matplotlib/matplotlib#7186,ipython/ipython#9998,ipython/ipython#9287
matplotlib/matplotlib#7186,ipython/ipython#9998,ipython/ipython#4609
matplotlib/matplotlib#7186,ipython/ipython#9998,ipython/ipython#4972
matplotlib/matplotlib#6624,ipython/ipython#8266,ipython/ipython#10795
matplotlib/matplotlib#6624,ipython/ipython#8266,ipython/ipython#8568
matplotlib/matplotlib#6624,ipython/ipython#8266,ipython/ipython#9791
matplotlib/matplotlib#6263,numpy/numpy#6127,astropy/astropy#726
matplotlib/matplotlib#6263,numpy/numpy#6127,ipython/ipython#10247
matplotlib/matplotlib#6263,numpy/numpy#6127,astropy/astropy#2790
matplotlib/matplotlib#6192,numpy/numpy#6127,astropy/astropy#726
matplotlib/matplotlib#6192,numpy/numpy#6127,ipython/ipython#10247
matplotlib/matplotlib#6192,numpy/numpy#6127,astropy/astropy#2790
matplotlib/matplotlib#6092,ipython/ipython#9286,ipython/ipython#9007
matplotlib/matplotlib#6092,ipython/ipython#9286,scikit-learn/scikit-learn#3777
matplotlib/matplotlib#6092,ipython/ipython#9286,pandas-dev/pandas#15755
matplotlib/matplotlib#5966,numpy/numpy#5752,numpy/numpy#3960
matplotlib/matplotlib#5966,numpy/numpy#5752,numpy/numpy#3468
matplotlib/matplotlib#5966,numpy/numpy#5752,numpy/numpy#5773
matplotlib/matplotlib#5884,ipython/ipython#8733,ipython/ipython#7757
matplotlib/matplotlib#5884,ipython/ipython#8733,ipython/ipython#7725
matplotlib/matplotlib#5884,ipython/ipython#8733,pandas-dev/pandas#11951
matplotlib/matplotlib#5878,ipython/ipython#8850,pandas-dev/pandas#4475
matplotlib/matplotlib#5878,ipython/ipython#8850,pandas-dev/pandas#3821
