issue,related_issue,no_related_issue
numpy/numpy#9434,scipy/scipy#7571,scipy/scipy#7955
numpy/numpy#9434,scipy/scipy#7571,scipy/scipy#4919
numpy/numpy#9434,scipy/scipy#7571,ipython/ipython#746
numpy/numpy#8943,astropy/astropy#5796,astropy/astropy#5532
numpy/numpy#8943,astropy/astropy#5796,astropy/astropy#5480
numpy/numpy#8943,astropy/astropy#5796,astropy/astropy#5231
numpy/numpy#8897,scipy/scipy#7321,astropy/astropy#5020
numpy/numpy#8897,scipy/scipy#7321,astropy/astropy#2005
numpy/numpy#8897,scipy/scipy#7321,astropy/astropy#3592
numpy/numpy#8788,scipy/scipy#7184,scipy/scipy#2931
numpy/numpy#8788,scipy/scipy#7184,scipy/scipy#4185
numpy/numpy#8788,scipy/scipy#7184,scipy/scipy#2499
numpy/numpy#8762,scipy/scipy#7184,scipy/scipy#2931
numpy/numpy#8762,scipy/scipy#7184,scipy/scipy#4185
numpy/numpy#8762,scipy/scipy#7184,scipy/scipy#2499
numpy/numpy#7649,astropy/astropy#4950,astropy/astropy#5001
numpy/numpy#7649,astropy/astropy#4950,astropy/astropy#6059
numpy/numpy#7649,astropy/astropy#4950,astropy/astropy#6672
numpy/numpy#7393,astropy/astropy#4548,astropy/astropy#3741
numpy/numpy#7393,astropy/astropy#4548,astropy/astropy#2741
numpy/numpy#7393,astropy/astropy#4548,astropy/astropy#3037
numpy/numpy#6901,scipy/scipy#5609,scikit-learn/scikit-learn#2042
numpy/numpy#6901,scipy/scipy#5609,scikit-learn/scikit-learn#4555
numpy/numpy#6901,scipy/scipy#5609,scikit-learn/scikit-learn#2681
numpy/numpy#6462,scipy/scipy#5379,scikit-learn/scikit-learn#2642
numpy/numpy#6462,scipy/scipy#5379,matplotlib/matplotlib#7704
numpy/numpy#6462,scipy/scipy#5379,scipy/scipy#362
numpy/numpy#5986,astropy/astropy#2948,astropy/astropy#1834
numpy/numpy#5986,astropy/astropy#2948,astropy/astropy#1696
numpy/numpy#5986,astropy/astropy#2948,astropy/astropy#1667
numpy/numpy#5607,scipy/scipy#4559,scipy/scipy#3465
numpy/numpy#5607,scipy/scipy#4559,scipy/scipy#3243
numpy/numpy#5607,scipy/scipy#4559,scipy/scipy#5641
numpy/numpy#4627,scipy/scipy#3554,scipy/scipy#5397
numpy/numpy#4627,scipy/scipy#3554,scipy/scipy#5047
numpy/numpy#4627,scipy/scipy#3554,scipy/scipy#3766
numpy/numpy#4129,astropy/astropy#1872,astropy/astropy#5556
numpy/numpy#4129,astropy/astropy#1872,astropy/astropy#1936
numpy/numpy#4129,astropy/astropy#1872,astropy/astropy#1431
numpy/numpy#4021,scipy/scipy#3044,scipy/scipy#5154
numpy/numpy#4021,scipy/scipy#3044,scipy/scipy#7967
numpy/numpy#4021,scipy/scipy#3044,scipy/scipy#7958
numpy/numpy#4007,scipy/scipy#4104,scipy/scipy#7653
numpy/numpy#4007,scipy/scipy#4104,scipy/scipy#6400
numpy/numpy#4007,scipy/scipy#4104,scipy/scipy#2428
