issue,related_issue,no_related_issue
pandas-dev/pandas#9715,scipy/scipy#4712,scipy/scipy#5035
pandas-dev/pandas#9715,scipy/scipy#4712,scipy/scipy#2735
pandas-dev/pandas#9715,scipy/scipy#4712,scipy/scipy#3318
pandas-dev/pandas#12390,numpy/numpy#7285,ipython/ipython#4777
pandas-dev/pandas#12390,numpy/numpy#7285,ipython/ipython#3455
pandas-dev/pandas#12390,numpy/numpy#7285,ipython/ipython#1157
pandas-dev/pandas#12196,numpy/numpy#7163,numpy/numpy#4685
pandas-dev/pandas#12196,numpy/numpy#7163,numpy/numpy#4638
pandas-dev/pandas#12196,numpy/numpy#7163,numpy/numpy#6812
pandas-dev/pandas#8929,numpy/numpy#5326,numpy/numpy#3272
pandas-dev/pandas#8929,numpy/numpy#5326,numpy/numpy#6973
pandas-dev/pandas#8929,numpy/numpy#5326,numpy/numpy#231
pandas-dev/pandas#6453,numpy/numpy#4328,matplotlib/matplotlib#5050
pandas-dev/pandas#6453,numpy/numpy#4328,numpy/numpy#7074
pandas-dev/pandas#6453,numpy/numpy#4328,numpy/numpy#6812
pandas-dev/pandas#5997,numpy/numpy#4223,numpy/numpy#4910
pandas-dev/pandas#5997,numpy/numpy#4223,numpy/numpy#4038
pandas-dev/pandas#5997,numpy/numpy#4223,numpy/numpy#4749
pandas-dev/pandas#9670,numpy/numpy#1033,numpy/numpy#1005
pandas-dev/pandas#9670,numpy/numpy#1033,numpy/numpy#991
pandas-dev/pandas#9670,numpy/numpy#1033,numpy/numpy#1347
pandas-dev/pandas#5517,matplotlib/matplotlib#2357,matplotlib/matplotlib#1559
pandas-dev/pandas#5517,matplotlib/matplotlib#2357,matplotlib/matplotlib#2372
pandas-dev/pandas#5517,matplotlib/matplotlib#2357,matplotlib/matplotlib#2120
pandas-dev/pandas#9584,ipython/ipython#8478,ipython/ipython#4802
pandas-dev/pandas#9584,ipython/ipython#8478,ipython/ipython#5957
pandas-dev/pandas#9584,ipython/ipython#8478,scipy/scipy#5716
pandas-dev/pandas#9821,ipython/ipython#8261,ipython/ipython#3843
pandas-dev/pandas#9821,ipython/ipython#8261,ipython/ipython#445
pandas-dev/pandas#9821,ipython/ipython#8261,ipython/ipython#444
pandas-dev/pandas#5221,ipython/ipython#4803,scipy/scipy#3624
pandas-dev/pandas#5221,ipython/ipython#4803,scipy/scipy#5938
pandas-dev/pandas#5221,ipython/ipython#4803,matplotlib/matplotlib#7476
pandas-dev/pandas#5925,ipython/ipython#4570,matplotlib/matplotlib#3727
pandas-dev/pandas#5925,ipython/ipython#4570,numpy/numpy#4351
pandas-dev/pandas#5925,ipython/ipython#4570,ipython/ipython#7964
pandas-dev/pandas#12887,scipy/scipy#6063,numpy/numpy#5329
