issue,related_issue,no_related_issue
scipy/scipy#2196,matplotlib/matplotlib#385,scikit-learn/scikit-learn#5094
scipy/scipy#2196,matplotlib/matplotlib#385,matplotlib/matplotlib#4281
scipy/scipy#2196,matplotlib/matplotlib#385,numpy/numpy#307
scipy/scipy#2295,numpy/numpy#2750,numpy/numpy#360
scipy/scipy#2295,numpy/numpy#2750,numpy/numpy#353
scipy/scipy#2295,numpy/numpy#2750,astropy/astropy#4174
scipy/scipy#2598,numpy/numpy#3220,numpy/numpy#3328
scipy/scipy#2598,numpy/numpy#3220,numpy/numpy#3856
scipy/scipy#2598,numpy/numpy#3220,numpy/numpy#3880
scipy/scipy#3306,numpy/numpy#4602,numpy/numpy#6137
scipy/scipy#3306,numpy/numpy#4602,numpy/numpy#3747
scipy/scipy#3306,numpy/numpy#4602,numpy/numpy#3923
scipy/scipy#4021,numpy/numpy#5205,astropy/astropy#1769
scipy/scipy#4021,numpy/numpy#5205,numpy/numpy#6351
scipy/scipy#4021,numpy/numpy#5205,astropy/astropy#6508
scipy/scipy#4021,numpy/numpy#5223,numpy/numpy#3639
scipy/scipy#4021,numpy/numpy#5223,numpy/numpy#3977
scipy/scipy#4021,numpy/numpy#5223,numpy/numpy#4587
scipy/scipy#4153,numpy/numpy#5270,numpy/numpy#8479
scipy/scipy#4153,numpy/numpy#5270,numpy/numpy#2951
scipy/scipy#4153,numpy/numpy#5270,matplotlib/matplotlib#3316
scipy/scipy#4682,matplotlib/matplotlib#4326,matplotlib/matplotlib#6725
scipy/scipy#4682,matplotlib/matplotlib#4326,matplotlib/matplotlib#3720
scipy/scipy#4682,matplotlib/matplotlib#4326,matplotlib/matplotlib#6993
scipy/scipy#4720,numpy/numpy#5800,matplotlib/matplotlib#1916
scipy/scipy#4720,numpy/numpy#5800,numpy/numpy#3882
scipy/scipy#4720,numpy/numpy#5800,astropy/astropy#4171
scipy/scipy#4805,numpy/numpy#5891,numpy/numpy#5342
scipy/scipy#4805,numpy/numpy#5891,matplotlib/matplotlib#4096
scipy/scipy#4805,numpy/numpy#5891,astropy/astropy#3185
scipy/scipy#4946,matplotlib/matplotlib#1258,matplotlib/matplotlib#673
scipy/scipy#4946,matplotlib/matplotlib#1258,matplotlib/matplotlib#381
scipy/scipy#4946,matplotlib/matplotlib#1258,matplotlib/matplotlib#1031
scipy/scipy#4971,numpy/numpy#5950,numpy/numpy#4556
